Data;MediaDiaria;Maxima;Minima;Media
01/02/1977;1;213,377;87,87;118,357
01/03/1977;1;157,93;69,655;105,973
01/04/1977;1;395,556;100,984;138,18
01/05/1977;1;120,176;86,02;99,987
01/06/1977;1;116,297;75,05;91,507
01/07/1977;1;75,05;57,317;66,577
01/08/1977;1;73,245;41,78;50,097
01/09/1977;1;129,956;36,531;64,996
01/10/1977;1;216,013;36,531;76,733
01/11/1977;1;299,876;55,585;136,459
01/12/1977;1;311,726;80,507;163,682
01/01/1978;1;545,534;36,531;247,979
01/02/1978;1;170,234;36,531;88,421
01/03/1978;1;153,884;64,322;111,644
01/04/1978;1;149,853;60,804;87,412
01/05/1978;1;126,03;50,44;69,902
01/06/1978;1;114,365;47,272;66,825
01/07/1978;1;55,585;40,445;48,767
01/08/1978;1;41,78;34,001;37,589
01/09/1978;1;59,056;36,531;42,052
01/10/1978;1;95,33;27,961;50,886
01/11/1978;1;248,469;45,877;100,942
01/12/1978;1;245,707;67,87;138,3
01/01/1979;1;190,136;106,688;150,098
01/02/1979;1;444,893;87,87;206,18
01/03/1979;1;294,008;52,146;128,581
01/04/1979;1;127,991;62,559;84,616
01/05/1979;1;167,797;59,056;79,028
01/06/1979;1;122,122;50,44;62,81
01/07/1979;1;71,446;48,743;56,167
01/08/1979;1;48,743;36,531;41,879
01/09/1979;1;149,853;37,82;59,282
01/10/1979;1;87,87;30,327;43,969
01/11/1979;1;175,141;36,531;82,527
01/12/1979;1;329,783;50,44;130,133
01/01/1980;1;458,369;124,074;209,713
01/02/1980;1;485,716;151,866;235,593
01/03/1980;1;165,372;60,804;106,676
01/04/1980;1;112,438;48,743;78,721
01/05/1980;1;104,781;50,44;75,822
01/06/1980;1;108,599;78,682;91,525
01/07/1980;1;112,438;67,87;92,253
01/08/1980;1;116,297;67,87;81,22
01/09/1980;1;112,438;64,322;78,411
01/10/1980;1;141,842;50,44;76,816
01/11/1980;1;155,905;64,322;111,217
01/12/1980;1;348,171;100,05;172,885
01/01/1981;1;238,845;129,625;176,115
01/02/1981;1;195,091;61,705;122,221
01/03/1981;1;262,048;56,849;116,405
01/04/1981;1;116,572;50,627;72,092
01/05/1981;1;104,085;44,701;59,778
01/06/1981;1;112,346;40,454;57,882
01/07/1981;1;50,627;31,224;39,505
01/08/1981;1;55,266;26,392;39,55
01/09/1981;1;31,224;16,759;25,012
01/10/1981;1;197,72;28,767;84,483
01/11/1981;1;205,693;50,627;96,782
01/12/1981;1;359,987;68,428;163,422
01/01/1982;1;496,105;171,059;293,055
01/02/1982;1;423,352;118,974;209,252
01/03/1982;1;552,721;168,681;285,198
01/04/1982;1;228,367;127,625;172,754
01/05/1982;1;197,856;110,506;131,279
01/06/1982;1;138,687;67,471;92,948
01/07/1982;1;102,226;63,882;76,441
01/08/1982;1;114,717;56,882;72,618
01/09/1982;1;71,118;46,848;58,292
01/10/1982;1;143,187;51,793;84,385
01/11/1982;1;212,95;60,352;116,361
01/12/1982;1;392,525;65,67;178,468
01/01/1983;1;506,566;212,95;334,918
01/02/1983;1;633,789;136,452;300,265
01/03/1983;1;545,534;102,226;248,89
01/04/1983;1;442,176;123,277;218,844
01/05/1983;1;195,372;112,606;150,27
01/06/1983;1;215,497;90,173;126,787
01/07/1983;1;192,898;50,128;82,981
01/08/1983;1;96,144;40,445;65,99
01/09/1983;1;171,059;34,001;98,108
01/10/1983;1;315,717;74,821;188,782
01/11/1983;1;246,752;110,506;165,004
01/12/1983;1;276,476;178,252;218,358
01/01/1984;1;389,481;96,144;198,212
01/02/1984;1;327,208;96,144;156,965
01/03/1984;1;173,447;63,882;107,283
01/04/1984;1;398,635;60,352;146,276
01/05/1984;1;183,096;60,352;100,312
01/06/1984;1;92,15;50,128;70,228
01/07/1984;1;78,579;40,445;62,492
01/08/1984;1;88,208;42,053;62,622
01/09/1984;1;94,141;50,128;70,895
01/10/1984;1;123,277;42,053;67,607
01/11/1984;1;145,453;39,125;85,212
01/12/1984;1;205,362;86,256;153,514
01/01/1985;1;435,874;114,717;225,918
01/02/1985;1;341,742;96,144;173,409
01/03/1985;1;445,336;86,256;213,1
01/04/1985;1;238,821;71,118;133,402
01/05/1985;1;100,186;50,128;80,136
01/06/1985;1;102,226;55,17;74,071
01/07/1985;1;82,391;42,053;63,681
01/08/1985;1;74,821;46,848;60,559
01/09/1985;1;76,693;35,258;54,705
01/10/1985;1;76,693;40,445;53,41
01/11/1985;1;118,974;32,76;72,835
01/12/1985;1;293,104;43,634;93,546
01/01/1986;1;200,349;102,226;151,511
01/02/1986;1;236,195;84,317;139,829
01/03/1986;1;279,227;84,317;144,809
01/04/1986;1;140,931;69,288;88,111
01/05/1986;1;173,447;51,793;84,582
01/06/1986;1;65,67;50,128;55,909
01/07/1986;1;67,471;43,634;53,078
01/08/1986;1;104,278;42,053;57,2
01/09/1986;1;72,963;30,327;43,513
01/10/1986;1;98,159;31,535;45,846
01/11/1986;1;82,391;31,535;47,303
01/12/1986;1;344,671;50,128;130,453
01/01/1987;1;284,754;92,15;152,632
01/02/1987;1;538,378;88,208;199,045
01/03/1987;1;471,978;123,277;213,185
01/04/1987;1;371,363;78,579;132,222
01/05/1987;1;159,268;80,478;102,153
01/06/1987;1;116,84;67,471;79,008
01/07/1987;1;71,118;46,848;57,057
01/08/1987;1;56,882;40,445;50,447
01/09/1987;1;62,11;36,531;47,688
01/10/1987;1;92,15;36,531;52,474
01/11/1987;1;287,53;45,233;109,232
01/12/1987;1;417,132;102,226;198,19
01/01/1988;1;330,1;110,506;171,795
01/02/1988;1;293,104;143,187;207,531
01/03/1988;1;458,369;88,208;169,492
01/04/1988;1;321,447;62,11;149,819
01/05/1988;1;138,687;65,67;94,813
01/06/1988;1;94,141;51,793;73,802
01/07/1988;1;65,67;51,793;59,93
01/08/1988;1;60,352;48,48;54,533
01/09/1988;1;53,474;36,531;42,761
01/10/1988;1;353,503;26,803;72,659
01/11/1988;1;171,059;58,61;98,054
01/12/1988;1;386,443;71,118;144,193
01/01/1989;1;241,456;88,208;158,735
01/02/1989;1;489,171;88,208;210,489
01/03/1989;1;233,577;108,418;147,567
01/04/1989;1;215,497;78,579;112,518
01/05/1989;1;94,141;36,531;71,664
01/06/1989;1;84,317;45,233;61,909
01/07/1989;1;74,821;46,848;60,146
01/08/1989;1;76,693;50,128;56,884
01/09/1989;1;86,256;50,128;62,738
01/10/1989;1;104,278;34,001;47,868
01/11/1989;1;;;61,42
01/12/1989;1;;;115,58
01/01/1990;1;332,999;46,848;134,426
01/02/1990;1;;;85,83
01/03/1990;1;;;86,15
01/04/1990;1;;;97,92
01/05/1990;1;;;66,22
01/06/1990;1;;;50,34
01/07/1990;1;;;47,17
01/08/1990;1;;;51,58
01/09/1990;1;63,882;34,001;45,362
01/10/1990;1;102,226;30,327;54,207
01/11/1990;1;127,625;31,535;65,402
01/12/1990;1;152,314;36,531;70,772
01/01/1991;1;485,716;40,445;159,682
01/02/1991;1;420,238;150,016;245,131
01/03/1991;1;478,831;118,974;243,118
01/04/1991;1;356,461;129,815;251,013
01/05/1991;1;145,453;90,173;108,699
01/06/1991;1;92,15;65,67;79,02
01/07/1991;1;80,478;55,17;65,881
01/08/1991;1;63,882;48,48;56,912
01/09/1991;1;58,61;43,634;48,895
01/10/1991;1;86,256;40,445;59,333
01/11/1991;1;121,12;37,82;59,574
01/12/1991;1;138,687;45,233;80,681
01/01/1992;1;;;149,29
01/02/1992;1;;;165,73
01/03/1992;1;;;141,53
01/04/1992;1;;;121,59
01/05/1992;1;;;89,31
01/06/1992;1;;;65,82
01/07/1992;1;;;56,02
01/08/1992;1;;;47,47
01/09/1992;1;108,418;42,053;54,875
