01/01/1967;754,615;132,146;360,454
01/02/1967;278,817;66,744;128,348
01/03/1967;448,297;32,877;104,46
01/04/1967;176,053;20,634;52,375
01/05/1967;59,436;19,599;27,696
01/06/1967;28,509;21,692;24,791
01/07/1967;38,66;28,509;33,257
01/08/1967;54,76;37,67;41,402
01/09/1967;48,044;39,661;43,581
01/10/1967;69,256;48,044;55,117
01/11/1967;154,332;63,046;85,886
01/12/1967;303,976;93,56;147,138
01/01/1968;252,4;89,302;127,267
01/02/1968;498,569;127,229;255,011
01/03/1968;237,493;27,911;77,999
01/04/1968;85,126;25,001;43,066
01/05/1968;87,9;28,509;45,234
01/06/1968;81,033;28,509;41,202
01/07/1968;41,695;32,877;36,82
01/08/1968;48,044;37,67;42,27
01/09/1968;132,146;48,044;64,409
01/10/1968;65,502;50,243;57,864
01/11/1968;274,339;66,744;123,98
01/12/1968;272,111;86,508;121,642
01/01/1969;349,517;64,269;194,346
01/02/1969;159,652;44,823;66,929
01/03/1969;143,916;57,078;82,494
01/04/1969;179,787;48,044;94,061
01/05/1969;119,205;32,877;72,917
01/06/1969;86,508;27,318;38,121
01/07/1969;33,814;27,318;30,701
01/08/1969;40,673;33,814;37,341
01/09/1969;52,481;40,673;45,76
01/10/1969;109,863;52,481;68,293
01/11/1969;208,811;77,023;103,816
01/12/1969;369,469;74,396;120,437
01/01/1970;306,307;75,705;147,356
01/02/1970;382,17;38,66;116,089
01/03/1970;156,097;27,911;54,572
01/04/1970;78,35;26,73;35,404
01/05/1970;87,9;31,951;47,001
01/06/1970;41,695;33,814;36,448
01/07/1970;48,044;37,67;43,079
01/08/1970;59,436;49,139;53,687
01/09/1970;81,033;59,436;70,128
01/10/1970;225,015;81,033;120,544
01/11/1970;402,857;145,632;243,794
01/12/1970;448,297;93,56;195,391
01/01/1971;254,234;117,627;163,438
01/02/1971;446,975;26,408;169,198
01/03/1971;54,957;22,295;37,756
01/04/1971;53,042;25,005;33,402
01/05/1971;88,171;22,96;35,54
01/06/1971;80,103;23,634;31,424
01/07/1971;139,598;27,122;33,991
01/08/1971;47,469;22,96;29,29
01/09/1971;48,38;26,408;31,646
01/10/1971;147,243;27,122;61,126
01/11/1971;151,119;46,565;71,925
01/12/1971;211,179;74,54;119,327
01/01/1972;204,642;61,881;88,175
01/02/1972;526,383;65,991;198,324
01/03/1972;688,441;35,491;251,236
01/04/1972;57,882;25,703;37,159
01/05/1972;61,881;21,638;28,535
01/06/1972;45,669;30,056;35,372
01/07/1972;77,858;30,056;45,538
01/08/1972;94,131;30,056;40,652
01/09/1972;69,146;41,298;51,222
01/10/1972;78,977;46,565;57,426
01/11/1972;155,031;65,991;99,17
01/12/1972;247,249;100,253;154,11
01/01/1973;905,263;82,375;273,226
01/02/1973;523,361;73,448;156,63
01/03/1973;222,235;37,934;77,768
01/04/1973;151,119;35,491;70,022
01/05/1973;402,121;17,87;55,158
01/06/1973;27,844;17,87;22,73
01/07/1973;32,339;28,573;29,653
01/08/1973;46,565;32,339;39,086
01/09/1973;71,283;46,565;54,671
01/10/1973;99,016;54,957;66,525
01/11/1973;217,788;130,247;164,818
01/12/1973;455,57;145,318;285,712
01/01/1974;432,779;65,991;210,551
01/02/1974;177,166;65,991;107,662
01/03/1974;520,345;75,64;157,197
01/04/1974;220,008;26,408;84,725
01/05/1974;132,098;22,96;43,247
01/06/1974;47,469;24,315;30,39
01/07/1974;35,491;26,408;30,49
01/08/1974;44,78;33,115;38,019
01/09/1974;67,036;43,024;48,512
01/10/1974;92,926;53,042;63,658
01/11/1974;217,788;63,922;89,216
